,county,popn1214_1964,popn1214_1965,popn1214_1966,popn1214_1967,popn1214_1968,popn1214_1969,popn1214_1970,popn1214_1971,popn1214_1972,popn1214_1973,popn1214_1974,popn1214_1975,popn1214_1976,popn1214_1977,popn1214_1978,popn1214_1979,popn1214_1980,sch_st_1967,sch_new_1968,sch_new_1969,sch_new_1970,sch_new_1971,sch_new_1972,sch_new_1973
0,1,79046.3984375,83733.0,87273.0,90318.0,117207.0,121869.6015625,125397.6015625,128949.6015625,132624.0,135511.203125,139283.40625,139416.59375,140113.203125,138259.796875,137007.59375,136071.59375,135959.40625,16,22,5,1,0,0,1
1,2,28857.599609375,30196.80078125,31109.400390625,31632.0,32353.80078125,33244.19921875,34134.6015625,35305.19921875,36693.6015625,38089.19921875,39723.0,40537.80078125,40548.6015625,40128.6015625,40125.6015625,39953.3984375,39922.80078125,7,4,1,3,0,0,0
2,3,20370.0,21774.0,23048.400390625,23857.80078125,24703.80078125,25651.80078125,26154.0,26374.80078125,26662.19921875,26694.0,26387.400390625,25674.599609375,25102.80078125,24204.599609375,23508.0,22998.0,22589.400390625,6,4,0,0,0,0,0
3,4,31358.400390625,32700.0,33589.80078125,34225.19921875,34776.0,36097.19921875,36732.6015625,37175.3984375,37516.80078125,37871.3984375,38258.3984375,38263.19921875,38332.80078125,37620.6015625,37546.19921875,37415.3984375,37171.19921875,8,3,1,1,0,0,0
4,5,44964.0,47841.6,50181.6,52135.2,54783.6,58221.6,61499.4,64030.8,66688.2,69232.8,71723.4,72633.0,73361.4,72938.4,73134.0,78818.4,79276.8,15,1,2,2,0,0,2
5,6,72649.203125,77721.0,82558.203125,86905.203125,81393.6015625,86013.0,90180.6015625,82738.796875,98064.6015625,103009.796875,109820.3984375,113668.203125,120263.3984375,123495.6015625,127555.796875,132555.59375,138633.0,20,11,5,1,4,0,0
6,7,28518.0,30049.80078125,31304.400390625,31813.80078125,32198.400390625,32778.0,33199.80078125,33310.80078125,33905.3984375,33868.80078125,33705.0,32950.80078125,32560.80078125,31606.80078125,30828.0,30250.80078125,29872.19921875,12,2,3,2,1,1,0
7,8,42926.3984375,45486.6015625,47738.3984375,49202.3984375,50061.0,52303.80078125,54007.80078125,55440.0,57520.80078125,60346.19921875,63748.80078125,65794.796875,67658.3984375,68308.796875,69257.3984375,70772.3984375,72028.796875,20,5,2,0,1,3,0
8,9,66864.0,69498.6,70963.2,71160.6,71637.0,72050.4,71829.6,71271.0,70877.4,70139.4,68124.0,66278.4,64730.4,61626.0,58779.0,55982.4,53439.6,19,5,4,3,0,1,1
9,10,41121.6015625,42960.0,44104.19921875,44334.0,44649.0,45148.80078125,45556.80078125,45982.80078125,46719.6015625,47361.0,47136.6015625,46522.19921875,45743.3984375,44295.0,43066.19921875,42549.6015625,41526.0,21,2,4,1,1,1,0
10,11,38933.3984375,40511.3984375,41540.3984375,41834.3984375,42155.3984375,42729.0,43227.6015625,43570.80078125,43857.0,44131.19921875,43211.3984375,42035.3984375,40983.0,39365.3984375,37777.80078125,36590.3984375,35644.19921875,18,5,2,1,0,0,0
11,12,55093.80078125,57037.19921875,58461.6015625,59007.6015625,59161.80078125,59460.6015625,59799.0,59851.80078125,60252.0,61237.19921875,62318.3984375,62643.0,63333.0,62997.0,63058.80078125,63894.0,64803.6015625,16,13,0,1,1,0,0
12,13,37954.80078125,39484.80078125,40577.3984375,41461.80078125,42241.19921875,42711.6015625,42660.6015625,42431.3984375,42346.19921875,42309.0,41458.19921875,40528.80078125,39516.6015625,38047.80078125,36835.80078125,35783.3984375,34805.3984375,13,7,0,4,3,3,0
13,14,80190.6015625,83163.0,84636.6015625,84766.203125,85071.0,85572.6015625,85256.3984375,84682.796875,84795.0,84813.6015625,84067.203125,82780.203125,82056.0,79566.6015625,77380.203125,75707.3984375,73997.3984375,28,2,1,1,1,1,0
14,16,62995.19921875,65272.80078125,66418.796875,66024.0,65940.0,66208.203125,65995.203125,65186.3984375,64933.80078125,64997.3984375,63748.80078125,63032.3984375,62990.3984375,60093.6015625,57447.0,55461.6015625,52948.19921875,17,7,0,3,1,2,0
15,18,73691.3984375,76320.6015625,77669.3984375,78115.203125,78673.203125,78985.203125,79012.796875,78833.3984375,78493.203125,77775.0,74821.796875,72502.203125,69924.0,66169.796875,63412.19921875,60622.80078125,58404.6015625,15,18,0,0,0,2,0
16,19,57079.19921875,59712.0,61416.0,62453.3984375,63539.3984375,64561.80078125,65310.0,66271.203125,67743.0,69250.796875,70771.796875,71080.796875,71314.203125,70578.6015625,70561.203125,66270.0,66633.6015625,21,1,2,1,1,4,0
17,20,61381.19921875,64101.6015625,65537.3984375,66081.0,66697.796875,67291.796875,67693.203125,67914.6015625,68230.203125,68452.796875,68122.203125,67167.0,66471.6015625,64519.80078125,63101.3984375,60930.0,58905.6015625,20,13,0,2,0,0,0
